ProgramId,Owner,ProgramDataAddress,Authority,LastDeployedInSlot,DataLength,Balance
DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,BPFLoaderUpgradeab1e11111111111111111111111,4tacGjTExC28MiAMnYD4X3pe3LzR9xovLevTk2kjQF1w,9NdtCkyRRaQb1htvjDf3mhHPk8Vz5g2PFXR9YHaFS423,102928097,9000000 (0x895440) bytes,62.64120408 SOL
2669GNmpdcRF2FmpjZmPtnpKD7L9tkFd92XSPEN85i45,BPFLoaderUpgradeab1e11111111111111111111111,zPWNp6MzaGkuxooBuDudxp1gLznrDnGvSoyCHifXppZ,BEhedg7HmCsygac3KtRfy4GnsQQPkVCuRJchMFpw8osA,94819724,181248 (0x2c400) bytes,1.26269016 SOL
3zTkJYTRUeprjwFELTW82zZvfMjMre1xQHjdCoqE2yqN,BPFLoaderUpgradeab1e11111111111111111111111,5bCbe4NpSDE4UcXDYrjDeo4kqeRrpNf9uZexVH8FJKz1,2Be49EaUfDeEUgALq8N4e3aSwwykvRfXmPkQ6QCuPdYL,100415337,605520 (0x93d50) bytes,4.21562328 SOL
6W2eQLuC4JLqgudFPs1XZeRVeurL7kDTsqLW4ZNqr8mL,BPFLoaderUpgradeab1e11111111111111111111111,9y2sMDbC1A8UW1dKni2oFkQ29jww3Yq8ZMAnMNA9cigt,9LMrLfCRqRXhWgVJXKQoRvASDcvjxBTVPsPv183gr6Rd,93144232,873472 (0xd5400) bytes,6.0805692 SOL
FoXpJL1exLBJgHVvdSHNKyKu2xX2uatctH9qp6dLmfpP,BPFLoaderUpgradeab1e11111111111111111111111,BZGG4GPFP9tDKyWiF1FLSNnBXHVn2w9XY3SRfiCA9VyK,3pMvTLUA9NzZQd4gi725p89mvND1wRNQM3C8XEv1hTdA,106788330,1030480 (0xfb950) bytes,7.17334488 SOL
2WG3bYHtVuuVQFKvRSnbYYf6TzxcjU2A5tzgridDTnFd,BPFLoaderUpgradeab1e11111111111111111111111,Bdr18XeshYBp7fLAdAr3RYSpZrPP6Q2NtUBNeasgmJKR,DHLXnJdACTY83yKwnUkeoDjqi4QBbsYGa1v8tJL76ViX,107597977,1458976 (0x164320) bytes,10.15567704 SOL
7Zb1bGi32pfsrBkzWdqd4dFhUXwp5Nybr1zuaEwN34hy,BPFLoaderUpgradeab1e11111111111111111111111,8cKUEdb9TSSdhA8TVUEWMmQ9hTqYZZBteyCvhsh4721v,HmzDqZExUUQo4hazRsvnEHvhQfzFqziDYuUAJfRas48J,100476226,1417360 (0x15a090) bytes,9.86602968 SOL
A7p8451ktDCHq5yYaHczeLMYsjRsAkzc3hCXcSrwYHU7,BPFLoaderUpgradeab1e11111111111111111111111,5JrB1Es4X3jZ3VNtyk7MWX91YKTnwuTD7kxb1Ae9d1i5,3iYf9hHQPciwgJ1TCjpRUp1A3QW4AfaK7J6vCmETRMuu,103967817,3000000 (0x2dc6c0) bytes,20.88120408 SOL
AArngoCpoj8CaSYescSGYQu3RP7kVFTxPa7Nwu3kUear,BPFLoaderUpgradeab1e11111111111111111111111,Wpd25mEbgRjhgDUvnnASBbeTCzXHP3WmEy5eVUc8R56,2Be49EaUfDeEUgALq8N4e3aSwwykvRfXmPkQ6QCuPdYL,100415252,1064848 (0x103f90) bytes,7.41254616 SOL
4TK3unq6Q4KMcejD2zrwE2wM5QPkgpMYpphqmxsLnJ2J,BPFLoaderUpgradeab1e11111111111111111111111,4kUh1PjaruL7PyXKwcagps9LdDjTo4rfT6ZNXEyfPnMc,BjfQpbfb4u9bVMHaBQAbfcTkkTT4zQvAF2a68dQqhcyD,106987537,611568 (0x954f0) bytes,4.25771736 SOL
